GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Exceptional!,net.dapete.exceptional,ExUtils,0,23,0,4,0,6,0,4,0,2
Exceptional!,net.dapete.exceptional,ExWrap,96,125,2,8,35,43,6,19,4,16
Exceptional!,net.dapete.exceptional,ExException,15,50,0,4,6,14,0,8,0,6
Exceptional!,net.dapete.exceptional.function,ExDoubleConsumer,9,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExToIntFunction,9,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExDoublePredicate,9,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExBiFunction,11,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExConsumer,9,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExDoubleToLongFunction,9,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExIntConsumer,9,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExIntBinaryOperator,11,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExToLongFunction,9,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExLongUnaryOperator,13,3,0,0,1,1,4,1,4,1
Exceptional!,net.dapete.exceptional.function,ExBinaryOperator,11,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExLongFunction,9,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExToIntBiFunction,11,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExLongConsumer,9,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExDoubleBinaryOperator,11,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExDoubleSupplier,3,3,0,0,0,1,1,1,1,1
Exceptional!,net.dapete.exceptional.function,ExToLongBiFunction,11,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExLongPredicate,9,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExUnaryOperator,13,3,0,0,1,1,4,1,4,1
Exceptional!,net.dapete.exceptional.function,ExIntToDoubleFunction,9,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExLongToIntFunction,9,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExLongSupplier,3,3,0,0,0,1,1,1,1,1
Exceptional!,net.dapete.exceptional.function,ExBiPredicate,11,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExIntFunction,9,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExIntSupplier,3,3,0,0,0,1,1,1,1,1
Exceptional!,net.dapete.exceptional.function,ExBiConsumer,11,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExObjLongConsumer,11,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExObjDoubleConsumer,11,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExDoubleFunction,9,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExLongBinaryOperator,11,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExDoubleToIntFunction,9,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExRunnable,3,3,0,0,0,1,1,1,1,1
Exceptional!,net.dapete.exceptional.function,ExPredicate,9,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExIntToLongFunction,9,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExDoubleUnaryOperator,13,3,0,0,1,1,4,1,4,1
Exceptional!,net.dapete.exceptional.function,ExSupplier,3,3,0,0,0,1,1,1,1,1
Exceptional!,net.dapete.exceptional.function,ExObjIntConsumer,11,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExBooleanSupplier,3,3,0,0,0,1,1,1,1,1
Exceptional!,net.dapete.exceptional.function,ExToDoubleBiFunction,11,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExToDoubleFunction,9,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExIntPredicate,9,3,0,0,0,1,2,1,2,1
Exceptional!,net.dapete.exceptional.function,ExFunction,0,12,0,0,0,1,0,3,0,3
Exceptional!,net.dapete.exceptional.function,ExLongToDoubleFunction,9,3,0,0,0,1,2,1,2,1
